jugador,posicion,arquetipo,semestre,edad,categoria,minutos,sprint_30m_s,salto_cm,yoyo_m,pase_pct,duelos_pct,nota,trimestre_nac
Jugador 32,Extremo,estable,2025-I,18.8,Sub-20,726,4.88,46.8,1865,87.4,42.8,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 32,Extremo,estable,2025-II,19.3,Sub-20,1075,4.72,47.3,2000,85.7,44.5,Salto físico notable este semestre.,1
Jugador 32,Extremo,estable,2026-I,19.8,Sub-20,1079,4.77,48.8,1878,88.3,45.4,Salto físico notable este semestre.,1
Jugador 32,Extremo,estable,2026-II,20.3,Sub-20,946,4.77,47.9,2036,87.2,44.6,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 33,Central,estancado,2024-I,15.2,Sub-15,1166,4.44,44.3,1929,67.2,43.4,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 33,Central,estancado,2024-II,15.7,Sub-17,1079,4.47,43.0,1934,67.5,42.1,"Líder del grupo, rendimiento estable.",1
Jugador 33,Central,estancado,2025-I,16.2,Sub-17,804,4.38,42.9,1978,67.8,42.3,Salto físico notable este semestre.,1
Jugador 33,Central,estancado,2025-II,16.7,Sub-17,631,4.43,42.0,1910,67.4,41.3,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 33,Central,estancado,2026-I,17.2,Sub-17,932,4.45,44.0,2067,66.7,41.0,"Líder del grupo, rendimiento estable.",1
Jugador 33,Central,estancado,2026-II,17.7,Sub-20,794,4.44,43.4,1999,65.1,38.0,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 34,Lateral,progresa,2024-I,16.9,Sub-17,829,4.65,44.8,1345,78.6,41.9,Listo para minutos en categoría superior.,2
Jugador 34,Lateral,progresa,2024-II,17.4,Sub-17,983,4.62,44.8,1408,76.9,41.6,"Líder del grupo, rendimiento estable.",2
Jugador 34,Lateral,progresa,2025-I,17.9,Sub-20,856,4.52,48.9,1482,79.2,44.6,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 34,Lateral,progresa,2025-II,18.4,Sub-20,1110,4.59,50.4,1568,79.9,43.3,Salto físico notable este semestre.,2
Jugador 34,Lateral,progresa,2026-I,18.9,Sub-20,1208,4.54,50.8,1661,82.2,44.6,Listo para minutos en categoría superior.,2
Jugador 34,Lateral,progresa,2026-II,19.4,Sub-20,1042,4.45,52.6,1833,81.3,45.3,Listo para minutos en categoría superior.,2
Jugador 35,Central,estancado,2024-I,13.6,Sub-15,1041,4.63,52.0,1569,78.1,40.8,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 35,Central,estancado,2024-II,14.1,Sub-15,937,4.62,52.3,1687,74.9,39.5,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 35,Central,estancado,2025-I,14.6,Sub-15,994,4.61,52.3,1653,75.8,42.1,"Buena actitud, mejorar toma de decisiones en último tercio.",2
Jugador 35,Central,estancado,2025-II,15.1,Sub-15,730,4.69,54.0,1685,76.2,37.7,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 35,Central,estancado,2026-I,15.6,Sub-17,640,4.61,53.2,1698,74.7,36.2,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 35,Central,estancado,2026-II,16.1,Sub-17,913,4.57,53.2,1718,72.6,36.9,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 36,Lateral,estable,2024-I,17.9,Sub-20,733,4.45,40.7,1731,64.2,59.0,Listo para minutos en categoría superior.,2
Jugador 36,Lateral,estable,2024-II,18.4,Sub-20,1053,4.52,41.2,1793,64.2,57.7,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 36,Lateral,estable,2025-I,18.9,Sub-20,678,4.45,43.0,1729,64.9,58.2,Salto físico notable este semestre.,2
Jugador 36,Lateral,estable,2025-II,19.4,Sub-20,459,4.44,43.8,1797,64.4,54.2,"Buena actitud, mejorar toma de decisiones en último tercio.",2
Jugador 36,Lateral,estable,2026-I,19.9,Sub-20,989,4.41,44.9,1800,65.2,57.6,Listo para minutos en categoría superior.,2
Jugador 36,Lateral,estable,2026-II,20.4,Sub-20,713,4.4,47.2,1886,63.7,57.6,Salto físico notable este semestre.,2
Jugador 37,Delantero,progresa,2024-I,16.5,Sub-17,731,4.72,49.1,1803,79.0,48.2,"Irregular en entrenos, talento por encima del promedio.",3
Jugador 37,Delantero,progresa,2024-II,17.0,Sub-17,847,4.73,52.9,1912,81.3,43.7,Salto físico notable este semestre.,3
Jugador 37,Delantero,progresa,2025-I,17.5,Sub-17,1153,4.71,52.8,1956,81.8,44.6,"Buena actitud, mejorar toma de decisiones en último tercio.",3
Jugador 37,Delantero,progresa,2025-II,18.0,Sub-20,909,4.68,55.4,1996,83.9,48.0,"Dificultades con la carga, revisar con fisioterapia.",3
Jugador 37,Delantero,progresa,2026-I,18.5,Sub-20,1123,4.72,57.1,2109,82.7,46.2,"Irregular en entrenos, talento por encima del promedio.",3
Jugador 37,Delantero,progresa,2026-II,19.0,Sub-20,1289,4.62,56.0,2185,83.4,47.9,"Buena actitud, mejorar toma de decisiones en último tercio.",3
Jugador 38,Delantero,estancado,2024-I,14.8,Sub-15,916,4.19,50.6,1329,69.0,54.4,"Dificultades con la carga, revisar con fisioterapia.",4
Jugador 38,Delantero,estancado,2024-II,15.3,Sub-15,799,4.29,48.3,1424,67.2,53.0,"Dificultades con la carga, revisar con fisioterapia.",4
Jugador 38,Delantero,estancado,2025-I,15.8,Sub-17,1174,4.26,49.5,1485,67.9,51.9,"Líder del grupo, rendimiento estable.",4
Jugador 38,Delantero,estancado,2025-II,16.3,Sub-17,572,4.29,50.9,1388,66.1,52.9,"Líder del grupo, rendimiento estable.",4
Jugador 38,Delantero,estancado,2026-I,16.8,Sub-17,740,4.21,50.6,1345,65.7,51.5,"Irregular en entrenos, talento por encima del promedio.",4
Jugador 38,Delantero,estancado,2026-II,17.3,Sub-17,744,4.2,50.9,1436,64.9,49.6,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 39,Central,estable,2024-I,13.5,Sub-15,1040,4.8,52.8,1588,69.6,57.2,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 39,Central,estable,2024-II,14.0,Sub-15,1087,4.76,54.0,1595,69.9,55.5,Salto físico notable este semestre.,1
Jugador 39,Central,estable,2025-I,14.5,Sub-15,989,4.77,54.6,1622,71.3,55.9,Listo para minutos en categoría superior.,1
Jugador 39,Central,estable,2025-II,15.0,Sub-15,791,4.69,55.2,1764,69.3,57.9,Salto físico notable este semestre.,1
Jugador 39,Central,estable,2026-I,15.5,Sub-17,1096,4.73,58.3,1696,69.9,57.1,"Líder del grupo, rendimiento estable.",1
Jugador 39,Central,estable,2026-II,16.0,Sub-17,861,4.69,57.1,1677,70.0,57.5,"Líder del grupo, rendimiento estable.",1
Jugador 40,Central,estable,2024-I,14.7,Sub-15,965,4.81,43.5,1767,72.6,49.2,Salto físico notable este semestre.,3
Jugador 40,Central,estable,2024-II,15.2,Sub-15,832,4.78,43.3,1785,72.8,48.8,Listo para minutos en categoría superior.,3
Jugador 40,Central,estable,2025-I,15.7,Sub-17,1366,4.84,44.7,1852,75.7,50.3,Salto físico notable este semestre.,3
Jugador 40,Central,estable,2025-II,16.2,Sub-17,1071,4.79,46.6,1899,75.8,48.7,Salto físico notable este semestre.,3
Jugador 40,Central,estable,2026-I,16.7,Sub-17,1154,4.72,47.9,1933,73.3,51.5,"Dificultades con la carga, revisar con fisioterapia.",3
Jugador 40,Central,estable,2026-II,17.2,Sub-17,841,4.74,45.6,1997,73.4,49.7,"Irregular en entrenos, talento por encima del promedio.",3
